campaign,unit,fault_model,mode,config_family,workload,n_reps,n_valid,n_inactive,n_simerror,n_sdc,n_crash,n_hang,n_masked,n_inject0,P_SDC,P_DUE,wilson_lo,wilson_hi,denominator,source_run
iq_formal_cholesky,iq,transient_bit_flip,SE,C2,cholesky,384,384,0,0,0,0,289,95,289,0.0000,0.7526,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/iq_formal_cholesky
l1d_formal_reduce,l1d,transient_bit_flip,SE,C0-CACHE,reduce,384,384,0,0,375,0,0,9,0,0.9766,0.0000,0.9561,0.9876,n_valid(ooo),/home/sdc/gem5-fi/runs/l1d_formal_reduce
l1d_formal_reduce_secded,l1d,transient_bit_flip,SE,C0-CACHE,secded,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/l1d_formal_reduce_secded
l1d_reduce_pilot,l1d,transient_bit_flip,SE,C0-CACHE,reduce,5,5,0,0,5,0,0,0,0,1.0000,0.0000,0.5655,1.0000,n_valid(ooo),/home/sdc/gem5-fi/runs/l1d_reduce_pilot
l1dfwd_formal_reduce,l1d_fwd,transient_bit_flip,SE,C2,reduce,384,384,0,0,349,0,0,35,0,0.9089,0.0000,0.8759,0.9337,n_valid(ooo),/home/sdc/gem5-fi/runs/l1dfwd_formal_reduce
l1i_formal_loop,l1i,stuck_at_zero,SE,C0-CACHE,loop,768,765,0,3,0,3,1,761,2,0.0000,0.0052,0.0000,0.0050,n_valid(ooo),/home/sdc/gem5-fi/runs/l1i_formal_loop
l2_formal_reduce,l2,transient_bit_flip,SE,C0-CACHE,reduce,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/l2_formal_reduce
lsqfwd_formal_fwd,lsq_fwd,transient_bit_flip,SE,C2,fwd,384,381,0,3,18,105,0,258,0,0.0472,0.2756,0.0301,0.0734,n_valid(ooo),/home/sdc/gem5-fi/runs/lsqfwd_formal_fwd
lsqfwd_fwd_pilot,lsq_fwd,transient_bit_flip,SE,C0,fwd,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/lsqfwd_fwd_pilot
lsqfwd_regchain_pilot,lsq_fwd,transient_bit_flip,SE,C0,regchain,5,0,5,0,0,0,0,0,5,n/a,n/a,0.0000,0.0000,n_valid(ooo),/home/sdc/gem5-fi/runs/lsqfwd_regchain_pilot
mem_formal_cholesky,memory,transient_bit_flip,SE,C2,cholesky,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/mem_formal_cholesky
